,종목코드,종목명,시가총액_label,주식수_label,btin,SIC,GICS
0,000020,동화약품,"2,670억원","2,793만주",의약품 제조업,의약품,건강관리
1,000050,경방,"3,139억원","2,741만주",종합 소매업,유통업,"화장품,의류,완구"
2,000060,메리츠화재,"24,668억원","11,368만주",보험업,보험업,보험
3,000070,삼양홀딩스,"7,039억원",856만주,기타 금융업,기타금융업,필수소비재
4,000080,하이트진로,"11,992억원","7,013만주",알코올음료 제조업,음식료품,필수소비재
5,000100,유한양행,"30,767억원","1,220만주",의약품 제조업,의약품,건강관리
6,000120,CJ대한통운,"33,306억원","2,281만주",도로 화물 운송업,운수창고업,운송
7,000140,하이트진로홀딩스,"1,561억원","2,320만주",기타 금융업,기타금융업,필수소비재
8,000150,두산,"25,149억원","1,919만주",회사 본부 및 경영 컨설팅 서비스업,서비스업,"상사,자본재"
9,000180,성창기업지주,"1,478억원","6,975만주",회사 본부 및 경영 컨설팅 서비스업,서비스업,"비철,목재등"
10,000220,유유제약,748억원,636만주,의약품 제조업,의약품,건강관리
11,000230,일동홀딩스,"1,353억원","1,049만주",기타 금융업,의약품,건강관리
12,000250,삼천당제약,"8,411억원","2,210만주",의약품 제조업,제약,건강관리
13,000300,대유플러스,916억원,"10,068만주",통신 및 방송 장비 제조업,전기전자,자동차
14,000320,노루홀딩스,"1,541억원","1,329만주",기타 금융업,기타금융업,"건설,건축관련"
15,000400,롯데손해보험,"3,605억원","13,428만주",보험업,보험업,보험
16,000430,대원강업,"2,216억원","6,200만주",자동차 신품 부품 제조업,운수장비,자동차
17,000440,중앙에너비스,552억원,124만주,기타 전문 도매업,도매,에너지
18,000480,조선내화,"3,480억원",400만주,"내화, 비내화 요업제품 제조업",비금속광물,"비철,목재등"
19,000500,가온전선,736억원,416만주,절연선 및 케이블 제조업,전기전자,기계
20,000520,삼일제약,"1,660억원",650만주,의약품 제조업,의약품,건강관리
21,000590,CS홀딩스,707억원,115만주,기타 금융업,기타금융업,철강
22,000640,동아쏘시오홀딩스,"6,076억원",613만주,기타 금융업,기타금융업,건강관리
