,단축코드,한글 종목약명,시장구분,Degree,community_code,community_label,KOSPI_sector,market_cap,market_cap_row
0,098120,마이크로컨텍솔,KOSDAQ,62,12,반도체,반도체,"1,072억원",1072
1,009520,포스코엠텍,KOSDAQ,129,10,철강금속,금속,"2,994억원",2994
2,095570,AJ네트웍스,KOSPI,54,4,"은행, 증권 및 기타금융",서비스업,"2,468억원",2468
3,006840,AK홀딩스,KOSPI,51,17,섬유의복 및 유통,기타금융업,"2,676억원",2676
4,282330,BGF리테일,KOSPI,50,2,"음식료품, 담배 및 기타화학",유통업,"26,272억원",26272
5,027410,BGF,KOSPI,55,2,"음식료품, 담배 및 기타화학",기타금융업,"4,987억원",4987
6,138930,BNK금융지주,KOSPI,72,4,"은행, 증권 및 기타금융",기타금융업,"28,193억원",28193
7,001460,BYC,KOSPI,133,17,섬유의복 및 유통,섬유의복,"2,705억원",2705
8,001040,CJ,KOSPI,69,8,"광고, 디지털컨텐츠, 엔터테인먼트",기타금융업,"24,946억원",24946
9,011150,CJ씨푸드,KOSPI,132,2,"음식료품, 담배 및 기타화학",음식료품,"1,355억원",1355
10,058820,CMG제약,KOSDAQ,131,11,"의료, 제약 및 생물공학",제약,"5,208억원",5208
11,000590,CS홀딩스,KOSPI,51,10,철강금속,기타금융업,732억원,732
12,012030,DB,KOSPI,110,16,IT서비스,서비스업,"1,893억원",1893
13,016610,DB금융투자,KOSPI,60,4,"은행, 증권 및 기타금융",증권,"2,933억원",2933
14,005830,DB손해보험,KOSPI,54,4,"은행, 증권 및 기타금융",보험업,"40,144억원",40144
15,000990,DB하이텍,KOSPI,61,1,전기전자,전기전자,"31,212억원",31212
16,139130,DGB금융지주,KOSPI,54,4,"은행, 증권 및 기타금융",기타금융업,"16,170억원",16170
17,155660,DSR,KOSPI,60,10,철강금속,철강금속,883억원,883
18,069730,DSR제강,KOSPI,124,10,철강금속,철강금속,660억원,660
19,017940,E1,KOSPI,50,13,기계장비,유통업,"3,313억원",3313
20,383220,F&F,KOSPI,71,17,섬유의복 및 유통,섬유의복,"66,271억원",66271
21,006360,GS건설,KOSPI,59,15,건설,건설업,"35,174억원",35174
22,078930,GS,KOSPI,53,2,"음식료품, 담배 및 기타화학",기타금융업,"37,491억원",37491
23,012630,HDC,KOSPI,113,15,건설,기타금융업,"6,213억원",6213
24,294870,HDC현대산업개발,KOSPI,98,0,"건설, 장비, 기기",건설업,"15,422억원",15422
25,003560,IHQ,KOSPI,89,8,"광고, 디지털컨텐츠, 엔터테인먼트",서비스업,"2,179억원",2179
26,175330,JB금융지주,KOSPI,58,4,"은행, 증권 및 기타금융",기타금융업,"16,487억원",16487
27,234080,JW생명과학,KOSPI,62,11,"의료, 제약 및 생물공학",의약품,"2,359억원",2359
28,001060,JW중외제약,KOSPI,99,11,"의료, 제약 및 생물공학",의약품,"5,008억원",5008
29,096760,JW홀딩스,KOSPI,60,11,"의료, 제약 및 생물공학",기타금융업,"2,348억원",2348
30,105560,KB금융,KOSPI,57,4,"은행, 증권 및 기타금융",기타금융업,"238,674억원",238674
31,024120,KB오토시스,KOSDAQ,55,7,운수장비,"운송장비,부품",748억원,748
32,009070,KCTC,KOSPI,123,5,"항공,운수 및 통신장비",운수창고업,"1,794억원",1794
33,001390,KG케미칼,KOSPI,50,1,전기전자,화학,"4,326억원",4326
34,001940,KISCO홀딩스,KOSPI,124,10,철강금속,철강금속,"2,864억원",2864
35,025000,KPX케미칼,KOSPI,82,6,"화학, 섬유",화학,"2,638억원",2638
36,092230,KPX홀딩스,KOSPI,75,6,"화학, 섬유",화학,"2,700억원",2700
37,093050,LF,KOSPI,79,17,섬유의복 및 유통,섬유의복,"5,088억원",5088
38,034220,LG디스플레이,KOSPI,59,1,전기전자,전기전자,"79,435억원",79435
39,003550,LG,KOSPI,62,9,"가전, 전자장비, 기타 부품 및 제품",기타금융업,"126,627억원",126627
40,051900,LG생활건강,KOSPI,61,17,섬유의복 및 유통,화학,"180,078억원",180078
41,032640,LG유플러스,KOSPI,51,9,"가전, 전자장비, 기타 부품 및 제품",통신업,"61,126억원",61126
42,011070,LG이노텍,KOSPI,56,14,전자부품,전기전자,"71,593억원",71593
43,066570,LG전자,KOSPI,51,14,전자부품,전기전자,"210,287억원",210287
44,051910,LG화학,KOSPI,50,2,"음식료품, 담배 및 기타화학",화학,"494,852억원",494852
45,079550,LIG넥스원,KOSPI,68,5,"항공,운수 및 통신장비",기계,"13,838억원",13838
46,000680,LS네트웍스,KOSPI,52,17,섬유의복 및 유통,유통업,"2,325억원",2325
47,006260,LS,KOSPI,57,0,"건설, 장비, 기기",기타금융업,"17,195억원",17195
48,023150,MH에탄올,KOSPI,51,1,전기전자,음식료품,742억원,742
49,035420,NAVER,KOSPI,155,8,"광고, 디지털컨텐츠, 엔터테인먼트",서비스업,"643,913억원",643913
50,034310,NICE,KOSPI,53,4,"은행, 증권 및 기타금융",서비스업,"6,194억원",6194
51,008260,NI스틸,KOSPI,54,15,건설,철강금속,945억원,945
52,004250,NPC,KOSPI,136,6,"화학, 섬유",화학,"2,636억원",2636
53,010060,OCI,KOSPI,82,6,"화학, 섬유",화학,"26,234억원",26234
54,010950,S-Oil,KOSPI,88,13,기계장비,화학,"99,411억원",99411
55,950110,SBI핀테크솔루션즈,KOSDAQ,62,16,IT서비스,미분류,"1,575억원",1575
56,101060,SBS미디어홀딩스,KOSPI,54,8,"광고, 디지털컨텐츠, 엔터테인먼트",서비스업,"2,735억원",2735
57,002360,SH에너지화학,KOSPI,60,6,"화학, 섬유",화학,"1,035억원",1035
58,009160,SIMPAC,KOSPI,51,0,"건설, 장비, 기기",기계,"4,469억원",4469
59,123700,SJM,KOSPI,60,7,운수장비,운수장비,729억원,729
60,025530,SJM홀딩스,KOSPI,111,7,운수장비,유통업,537억원,537
61,011790,SKC,KOSPI,50,9,"가전, 전자장비, 기타 부품 및 제품",화학,"68,542억원",68542
62,018670,SK가스,KOSPI,67,13,기계장비,유통업,"11,446억원",11446
63,001740,SK네트웍스,KOSPI,51,9,"가전, 전자장비, 기타 부품 및 제품",유통업,"12,509억원",12509
64,210980,SK디앤디,KOSPI,53,15,건설,서비스업,"6,912억원",6912
65,034730,SK,KOSPI,70,9,"가전, 전자장비, 기타 부품 및 제품",기타금융업,"184,344억원",184344
66,096770,SK이노베이션,KOSPI,53,9,"가전, 전자장비, 기타 부품 및 제품",화학,"195,565억원",195565
67,001510,SK증권,KOSPI,55,4,"은행, 증권 및 기타금융",증권,"4,797억원",4797
68,285130,SK케미칼,KOSPI,58,6,"화학, 섬유",화학,"26,255억원",26255
69,017670,SK텔레콤,KOSPI,51,9,"가전, 전자장비, 기타 부품 및 제품",통신업,"122,984억원",122984
70,005610,SPC삼립,KOSPI,89,2,"음식료품, 담배 및 기타화학",음식료품,"6,178억원",6178
