,Unnamed: 0,index,ric,종목명,시가총액,시가총액_label,상장주식수,시장구분,btin,SIC,GICS
0,0,0,000020,동화약품,267024853200,"2,670억원","27,931,470",KOSPI,의약품 제조업,의약품,건강관리
1,1,1,000050,경방,313904841500,"3,139억원","27,415,270",KOSPI,종합 소매업,유통업,"화장품,의류,완구"
2,2,2,000060,메리츠화재,2466856000000,"24,668억원","113,680,000",KOSPI,보험업,보험업,보험
3,3,3,000070,삼양홀딩스,703983076200,"7,039억원","8,564,271",KOSPI,기타 금융업,기타금융업,필수소비재
4,4,4,000080,하이트진로,1199284748100,"11,992억원","70,133,611",KOSPI,알코올음료 제조업,음식료품,필수소비재
5,5,5,000100,유한양행,3076757208000,"30,767억원","12,209,354",KOSPI,의약품 제조업,의약품,건강관리
6,6,6,000120,CJ대한통운,3330602224000,"33,306억원","22,812,344",KOSPI,도로 화물 운송업,운수창고업,운송
7,7,7,000140,하이트진로홀딩스,156181528450,"1,561억원","23,206,765",KOSPI,기타 금융업,기타금융업,필수소비재
8,8,8,000150,두산,2514938393000,"25,149억원","19,198,003",KOSPI,회사 본부 및 경영 컨설팅 서비스업,서비스업,"상사,자본재"
9,9,9,000180,성창기업지주,147873392000,"1,478억원","69,751,600",KOSPI,회사 본부 및 경영 컨설팅 서비스업,서비스업,"비철,목재등"
10,10,10,000220,유유제약,74830897250,748억원,"6,368,587",KOSPI,의약품 제조업,의약품,건강관리
11,11,11,000230,일동홀딩스,135324818400,"1,353억원","10,490,296",KOSPI,기타 금융업,의약품,건강관리
12,12,12,000250,삼천당제약,841126184650,"8,411억원","22,105,813",KOSDAQ,의약품 제조업,제약,건강관리
13,13,13,000300,대유플러스,91621038600,916억원,"100,682,460",KOSPI,통신 및 방송 장비 제조업,전기전자,자동차
14,14,14,000320,노루홀딩스,154177351600,"1,541억원","13,291,151",KOSPI,기타 금융업,기타금융업,"건설,건축관련"
15,15,15,000400,롯데손해보험,360541800000,"3,605억원","134,280,000",KOSPI,보험업,보험업,보험
16,16,16,000430,대원강업,221650000000,"2,216억원","62,000,000",KOSPI,자동차 신품 부품 제조업,운수장비,자동차
17,17,17,000440,중앙에너비스,55234643100,552억원,"1,245,426",KOSDAQ,기타 전문 도매업,도매,에너지
