Id,Source,Target,Weight
0,Agilent Technologies Inc.,Emerson Electric Co,4
1,Agilent Technologies Inc.,Snap-On Inc.,4
2,Alcoa Inc.,Nucor Corp.,2356
3,Alcoa Inc.,Moody's Corp,2042
4,Alcoa Inc.,Citigroup Inc.,1954
5,Alcoa Inc.,J.M. Smucker Co.,1775
6,Alcoa Inc.,Valero Energy,1709
7,Alcoa Inc.,FMC Corporation,1695
8,Alcoa Inc.,Leggett & Platt,1657
9,Alcoa Inc.,Exxon Mobil Corp.,1637
10,Alcoa Inc.,Omnicom Group,1618
11,Alcoa Inc.,Fifth Third Bancorp,1595
12,Alcoa Inc.,Quanta Services Inc.,1567
13,Alcoa Inc.,McGraw Hill Financial,1544
14,Alcoa Inc.,Kellogg Co.,1429
15,American Airlines Group,Delta Air Lines,446
16,American Airlines Group,United Parcel Service,342
17,American Airlines Group,Ryder System,294
18,Advance Auto Parts Inc,Johnson Controls,639
19,Advance Auto Parts Inc,Ford Motor,581
20,Advance Auto Parts Inc,Carmax Inc.,559
21,Advance Auto Parts Inc,Signet Jewelers Limited,476
22,Apple Inc.,Moody's Corp,447
23,AbbVie Inc.,Celgene Corp.,376
24,AbbVie Inc.,"St. Jude Medical, Inc.",311
25,AbbVie Inc.,Bristol-Myers Squibb,299
26,AbbVie Inc.,Gilead Sciences,288
27,AbbVie Inc.,"Biogen Idec, Inc.",273
28,AbbVie Inc.,McKesson Corp.,260
29,AbbVie Inc.,Boston Scientific,246
30,AbbVie Inc.,"Zoetis, Inc.",233
31,AmerisourceBergen Corp.,McKesson Corp.,386
32,AmerisourceBergen Corp.,Cerner,288
33,AmerisourceBergen Corp.,Robert Half International,236
34,Abbott Laboratories,AbbVie Inc.,342
35,Abbott Laboratories,"St. Jude Medical, Inc.",301
36,Abbott Laboratories,Pfizer Inc.,300
37,Abbott Laboratories,Celgene Corp.,293
38,Abbott Laboratories,Boston Scientific,253
39,Abbott Laboratories,Bristol-Myers Squibb,240
40,Abbott Laboratories,"Zoetis, Inc.",226
41,Abbott Laboratories,Endo International plc,222
42,Abbott Laboratories,Amgen Inc.,221
43,Abbott Laboratories,Gilead Sciences,215
44,Abbott Laboratories,"Biogen Idec, Inc.",209
45,Accenture plc,CBRE Group,1824
46,Accenture plc,Moody's Corp,1585
47,Adobe Systems Inc.,Apple Inc.,352
48,Adobe Systems Inc.,Moody's Corp,272
49,Adobe Systems Inc.,Autodesk Inc.,258
50,Analog Devices Inc.,General Dynamics,70
51,Analog Devices Inc.,Quanta Services Inc.,63
52,Analog Devices Inc.,Xilinx Inc.,62
53,Analog Devices Inc.,Johnson Controls,59
54,Analog Devices Inc.,Lockheed Martin Corp.,57
55,Analog Devices Inc.,Honeywell Int'l Inc.,57
56,Archer-Daniels-Midland Co.,FMC Corporation,1753
57,Archer-Daniels-Midland Co.,Nucor Corp.,1652
58,Archer-Daniels-Midland Co.,Valero Energy,1467
59,Archer-Daniels-Midland Co.,J.M. Smucker Co.,1423
60,Archer-Daniels-Midland Co.,Delphi Automotive,1254
61,Archer-Daniels-Midland Co.,Leggett & Platt,1230
62,Archer-Daniels-Midland Co.,Citigroup Inc.,1156
63,Archer-Daniels-Midland Co.,Alcoa Inc.,1117
64,"ADP, LLC.",Robert Half International,1070
65,"ADP, LLC.",Omnicom Group,923
66,"ADP, LLC.",Paychex Inc.,894
67,"ADP, LLC.",Accenture plc,693
68,Alliance Data Systems Corp.,Moody's Corp,1113
69,Alliance Data Systems Corp.,E-Trade Financial Corp.,986
70,Autodesk Inc.,"CA, Inc.",309
71,Autodesk Inc.,Moody's Corp,303
72,Autodesk Inc.,EMC Corp.,271
73,Autodesk Inc.,Hewlett-Packard Co,256
74,Autodesk Inc.,Dun & Bradstreet,234
75,ADT Corp.,Accenture plc,455
76,ADT Corp.,Aon plc,424
77,ADT Corp.,PayPal Holdings Inc.,346
78,ADT Corp.,Moody's Corp,346
79,ADT Corp.,Omnicom Group,329
80,ADT Corp.,eBay Inc.,309
81,ADT Corp.,Fidelity Nat. Info. Services,307
82,ADT Corp.,Total System Services,300
83,ADT Corp.,Robert Half International,279
84,Ameren Corp.,PG&E Corp.,228
85,Ameren Corp.,Edison Int'l,212
86,Ameren Corp.,Pepco Holdings Inc.,202
87,Ameren Corp.,PPL Corp.,199
88,Ameren Corp.,Exelon Corp.,189
89,Ameren Corp.,SCANA Corp.,155
90,Ameren Corp.,Consolidated Edison,145
91,Ameren Corp.,NiSource Inc.,142
92,Ameren Corp.,TECO Energy,142
93,American Electric Power,TECO Energy,357
94,American Electric Power,Pepco Holdings Inc.,317
95,American Electric Power,Exxon Mobil Corp.,316
96,American Electric Power,AGL Resources Inc.,283
97,American Electric Power,Moody's Corp,240
98,American Electric Power,Quanta Services Inc.,238
99,American Electric Power,PG&E Corp.,218
100,American Electric Power,Sempra Energy,216
101,AES Corp.,TECO Energy,527
102,AES Corp.,Pinnacle West Capital,470
103,AES Corp.,Alcoa Inc.,432
104,AES Corp.,Valero Energy,430
105,AES Corp.,PACCAR Inc.,416
106,AES Corp.,Xcel Energy Inc.,405
107,AES Corp.,Exelon Corp.,400
108,AES Corp.,Nucor Corp.,394
109,AES Corp.,Sempra Energy,383
110,AES Corp.,SCANA Corp.,363
111,AES Corp.,Pepco Holdings Inc.,357
112,AES Corp.,Consolidated Edison,338
113,AES Corp.,American Electric Power,329
114,AES Corp.,Edison Int'l,323
115,AES Corp.,Southern Co.,322
116,AES Corp.,Public Serv. Enterprise Inc.,317
117,Aetna Inc.,Omnicom Group,1082
118,Aetna Inc.,Robert Half International,1006
119,Aetna Inc.,Anthem Inc.,922
120,Aetna Inc.,Quanta Services Inc.,902
121,Aetna Inc.,Accenture plc,859
122,Aetna Inc.,McKesson Corp.,666
123,Aetna Inc.,Cerner,659
124,Aetna Inc.,United Health Group Inc.,654
125,AFLAC Inc.,Moody's Corp,3752
126,"Allergan, Plc",Fifth Third Bancorp,977
127,"Allergan, Plc",J.M. Smucker Co.,841
128,"Allergan, Plc",SL Green Realty Corp,641
129,"Allergan, Plc",The Hershey Company,613
130,"Allergan, Plc",Leggett & Platt,593
131,"AIG, Inc.",Ameriprise Financial,716
132,"AIG, Inc.",CBRE Group,437
133,Aimco,Equity Residential,324
134,Aimco,SL Green Realty Corp,291
135,Aimco,Boston Properties,280
136,Aimco,Realty Income Corporation,243
137,Aimco,CBRE Group,216
138,Aimco,MetLife Inc.,211
139,Aimco,E-Trade Financial Corp.,210
140,Aimco,AvalonBay Communities,203
141,Assurant Inc.,MetLife Inc.,1491
142,Assurant Inc.,Moody's Corp,1165
143,Assurant Inc.,AFLAC Inc.,1134
144,Assurant Inc.,Principal Financial Group,1106
145,Akamai Technologies Inc.,Omnicom Group,760
146,Akamai Technologies Inc.,Interpublic Group,742
147,Akamai Technologies Inc.,Moody's Corp,662
148,Akamai Technologies Inc.,CenturyLink Inc.,598
149,Akamai Technologies Inc.,Yahoo Inc.,533
150,Akamai Technologies Inc.,Dun & Bradstreet,532
151,Akamai Technologies Inc.,Apple Inc.,510
152,Akamai Technologies Inc.,Citrix Systems,491
153,Akamai Technologies Inc.,Fidelity Nat. Info. Services,468
154,Akamai Technologies Inc.,Amazon.com Inc.,464
155,Allstate Corp.,MetLife Inc.,596
156,Allstate Corp.,Aon plc,568
157,Allstate Corp.,Marsh & McLennan,493
158,Allstate Corp.,AFLAC Inc.,414
159,Allstate Corp.,Principal Financial Group,412
160,Allstate Corp.,Assurant Inc.,378
161,Allstate Corp.,Hartford Financial Services,367
162,Allstate Corp.,Moody's Corp,358
163,Allegion,Moody's Corp,620
164,Allegion,Accenture plc,605
165,Allegion,CBRE Group,459
166,Allegion,E-Trade Financial Corp.,392
167,Alexion Pharmaceuticals,AbbVie Inc.,337
168,Alexion Pharmaceuticals,Vertex Pharmaceuticals Inc.,291
169,Alexion Pharmaceuticals,Johnson & Johnson,276
170,Alexion Pharmaceuticals,Celgene Corp.,267
171,Alexion Pharmaceuticals,Pfizer Inc.,264
172,Alexion Pharmaceuticals,Amgen Inc.,257
173,Alexion Pharmaceuticals,Endo International plc,253
174,Alexion Pharmaceuticals,Abbott Laboratories,246
175,Alexion Pharmaceuticals,Baxalta,242
176,Alexion Pharmaceuticals,Merck & Co.,241
177,Alexion Pharmaceuticals,Bristol-Myers Squibb,238
178,Alexion Pharmaceuticals,Eli Lilly and Co.,225
179,Alexion Pharmaceuticals,"St. Jude Medical, Inc.",220
180,Alexion Pharmaceuticals,"Biogen Idec, Inc.",217
181,Alexion Pharmaceuticals,"Allergan, Plc",212
182,Alexion Pharmaceuticals,Boston Scientific,203
183,Applied Materials Inc.,Hewlett-Packard Co,67
