,quarter,시장구분,종목명,btin
0,2,KOSPI,동화약품,의약품 제조업
102,1,KOSPI,동화약품,의약품 제조업
202,3,KOSPI,동화약품,의약품 제조업
205,4,KOSPI,동화약품,의약품 제조업
406,3,KOSPI,경방,종합 소매업
504,4,KOSPI,경방,종합 소매업
505,2,KOSPI,경방,종합 소매업
607,1,KOSPI,경방,종합 소매업
807,1,KOSPI,메리츠화재,보험업
808,2,KOSPI,메리츠화재,보험업
858,3,KOSPI,메리츠화재,보험업
1013,4,KOSPI,메리츠화재,보험업
1218,1,KOSPI,삼양홀딩스,기타 금융업
1220,4,KOSPI,삼양홀딩스,기타 금융업
1272,3,KOSPI,삼양홀딩스,기타 금융업
1429,2,KOSPI,삼양홀딩스,기타 금융업
1626,1,KOSPI,하이트진로,알코올음료 제조업
1655,3,KOSPI,하이트진로,알코올음료 제조업
1660,4,KOSPI,하이트진로,알코올음료 제조업
1677,2,KOSPI,하이트진로,알코올음료 제조업
1931,1,KOSPI,유한양행,의약품 제조업
1933,2,KOSPI,유한양행,의약품 제조업
1959,3,KOSPI,유한양행,의약품 제조업
1963,4,KOSPI,유한양행,의약품 제조업
1966,4,KOSPI,CJ대한통운,도로 화물 운송업
1989,3,KOSPI,CJ대한통운,도로 화물 운송업
2018,2,KOSPI,CJ대한통운,도로 화물 운송업
2168,1,KOSPI,CJ대한통운,도로 화물 운송업
2373,4,KOSPI,하이트진로홀딩스,기타 금융업
2374,3,KOSPI,하이트진로홀딩스,기타 금융업
2375,2,KOSPI,하이트진로홀딩스,기타 금융업
2376,1,KOSPI,하이트진로홀딩스,기타 금융업
2377,3,KOSPI,두산,회사 본부 및 경영 컨설팅 서비스업
2379,2,KOSPI,두산,회사 본부 및 경영 컨설팅 서비스업
2422,4,KOSPI,두산,회사 본부 및 경영 컨설팅 서비스업
2465,1,KOSPI,두산,회사 본부 및 경영 컨설팅 서비스업
2719,4,KOSPI,성창기업지주,회사 본부 및 경영 컨설팅 서비스업
2749,1,KOSPI,성창기업지주,회사 본부 및 경영 컨설팅 서비스업
2784,2,KOSPI,성창기업지주,회사 본부 및 경영 컨설팅 서비스업
2803,3,KOSPI,성창기업지주,회사 본부 및 경영 컨설팅 서비스업
2981,1,KOSPI,유유제약,의약품 제조업
2982,2,KOSPI,유유제약,의약품 제조업
3032,3,KOSPI,유유제약,의약품 제조업
3186,4,KOSPI,유유제약,의약품 제조업
3351,4,KOSPI,일동홀딩스,기타 금융업
3418,3,KOSPI,일동홀딩스,기타 금융업
3427,2,KOSPI,일동홀딩스,기타 금융업
3439,1,KOSPI,일동홀딩스,기타 금융업
3484,3,KOSDAQ,삼천당제약,의약품 제조업
3489,2,KOSDAQ,삼천당제약,의약품 제조업
3496,1,KOSDAQ,삼천당제약,의약품 제조업
3506,2,KOSPI,대유플러스,통신 및 방송 장비 제조업
3508,3,KOSPI,대유플러스,통신 및 방송 장비 제조업
3510,1,KOSPI,대유플러스,통신 및 방송 장비 제조업
3514,4,KOSPI,대유플러스,통신 및 방송 장비 제조업
3515,2,KOSPI,노루홀딩스,기타 금융업
3524,1,KOSPI,노루홀딩스,기타 금융업
3555,3,KOSPI,노루홀딩스,기타 금융업
3650,4,KOSPI,노루홀딩스,기타 금융업
3698,1,KOSPI,롯데손해보험,보험업
3747,2,KOSPI,롯데손해보험,보험업
3758,3,KOSPI,롯데손해보험,보험업
3762,4,KOSPI,롯데손해보험,보험업
3871,1,KOSPI,대원강업,자동차 신품 부품 제조업
3963,2,KOSPI,대원강업,자동차 신품 부품 제조업
3965,3,KOSPI,대원강업,자동차 신품 부품 제조업
4098,4,KOSPI,대원강업,자동차 신품 부품 제조업
4231,2,KOSDAQ,중앙에너비스,기타 전문 도매업
4232,4,KOSDAQ,중앙에너비스,기타 전문 도매업
4254,1,KOSDAQ,중앙에너비스,기타 전문 도매업
4255,3,KOSDAQ,중앙에너비스,기타 전문 도매업
4556,1,KOSPI,조선내화,"내화, 비내화 요업제품 제조업"
4647,2,KOSPI,조선내화,"내화, 비내화 요업제품 제조업"
4649,4,KOSPI,조선내화,"내화, 비내화 요업제품 제조업"
4657,3,KOSPI,조선내화,"내화, 비내화 요업제품 제조업"
4944,3,KOSPI,가온전선,절연선 및 케이블 제조업
4945,4,KOSPI,가온전선,절연선 및 케이블 제조업
4946,2,KOSPI,가온전선,절연선 및 케이블 제조업
4968,1,KOSPI,가온전선,절연선 및 케이블 제조업
5167,4,KOSPI,삼일제약,의약품 제조업
