종목명,시가총액,상장주식수,시장구분,btin,SIC,GICS
동화약품,"267,024,853,200","27,931,470",KOSPI,의약품 제조업,의약품,건강관리
KR모터스,"66,167,812,170","128,982,090",KOSPI,그외 기타 운송장비 제조업,운수장비,자동차
경방,"313,904,841,500","27,415,270",KOSPI,종합 소매업,유통업,"화장품,의류,완구"
메리츠화재,"2,466,856,000,000","113,680,000",KOSPI,보험업,보험업,보험
삼양홀딩스,"703,983,076,200","8,564,271",KOSPI,기타 금융업,기타금융업,필수소비재
하이트진로,"1,199,284,748,100","70,133,611",KOSPI,알코올음료 제조업,음식료품,필수소비재
유한양행,"3,076,757,208,000","12,209,354",KOSPI,의약품 제조업,의약품,건강관리
CJ대한통운,"3,330,602,224,000","22,812,344",KOSPI,도로 화물 운송업,운수창고업,운송
하이트진로홀딩스,"156,181,528,450","23,206,765",KOSPI,기타 금융업,기타금융업,필수소비재
두산,"2,514,938,393,000","19,198,003",KOSPI,회사 본부 및 경영 컨설팅 서비스업,서비스업,"상사,자본재"
성창기업지주,"147,873,392,000","69,751,600",KOSPI,회사 본부 및 경영 컨설팅 서비스업,서비스업,"비철,목재등"
대림산업,"3,041,520,000,000","34,800,000",KOSPI,토목 건설업,건설업,"건설,건축관련"
유유제약,"74,830,897,250","6,368,587",KOSPI,의약품 제조업,의약품,건강관리
일동홀딩스,"135,324,818,400","10,490,296",KOSPI,기타 금융업,의약품,건강관리
한국테크놀로지그룹,"1,548,785,880,450","93,020,173",KOSPI,기타 금융업,기타금융업,자동차
삼천당제약,"841,126,184,650","22,105,813",KOSDAQ,의약품 제조업,제약,건강관리
기아자동차,"11,410,978,218,050","405,363,347",KOSPI,자동차용 엔진 및 자동차 제조업,운수장비,자동차
대유플러스,"91,621,038,600","100,682,460",KOSPI,통신 및 방송 장비 제조업,전기전자,자동차
노루홀딩스,"154,177,351,600","13,291,151",KOSPI,기타 금융업,기타금융업,"건설,건축관련"
한화손해보험,"721,446,494,700","116,738,915",KOSPI,보험업,보험업,보험
삼화페인트공업,"165,242,193,750","26,438,751",KOSPI,기타 화학제품 제조업,화학,"건설,건축관련"
롯데손해보험,"360,541,800,000","134,280,000",KOSPI,보험업,보험업,보험
대원강업,"221,650,000,000","62,000,000",KOSPI,자동차 신품 부품 제조업,운수장비,자동차
중앙에너비스,"55,234,643,100","1,245,426",KOSDAQ,기타 전문 도매업,도매,에너지
조선내화,"348,000,000,000","4,000,000",KOSPI,"내화, 비내화 요업제품 제조업",비금속광물,"비철,목재등"
대동공업,"129,793,308,700","23,728,210",KOSPI,특수 목적용 기계 제조업,기계,기계
가온전선,"73,638,141,900","4,160,347",KOSPI,절연선 및 케이블 제조업,전기전자,기계
삼일제약,"166,075,000,000","6,500,000",KOSPI,의약품 제조업,의약품,건강관리
흥국화재,"330,849,621,750","64,242,645",KOSPI,보험업,보험업,보험
CS홀딩스,"70,769,746,600","1,154,482",KOSPI,기타 금융업,기타금융업,철강
동아쏘시오홀딩스,"607,691,106,000","6,138,294",KOSPI,기타 금융업,기타금융업,건강관리
천일고속,"118,625,260,000","1,429,220",KOSPI,육상 여객 운송업,운수창고업,운송
SK하이닉스,"49,212,959,874,000","728,002,365",KOSPI,반도체 제조업,전기전자,반도체
영풍,"1,344,689,200,000","1,842,040",KOSPI,1차 비철금속 제조업,철강금속,IT하드웨어
LS네트웍스,"208,039,962,240","78,803,016",KOSPI,상품 종합 도매업,유통업,"화장품,의류,완구"
유수홀딩스,"158,855,053,200","26,041,812",KOSPI,회사 본부 및 경영 컨설팅 서비스업,서비스업,운송
현대건설,"6,046,618,039,500","111,355,765",KOSPI,토목 건설업,건설업,"건설,건축관련"
이화산업,"60,340,000,000","2,800,000",KOSPI,기타 전문 도매업,유통업,화학
삼성화재해상보험,"13,596,578,219,000","47,374,837",KOSPI,보험업,보험업,보험
화천기공,"89,650,000,000","2,200,000",KOSPI,특수 목적용 기계 제조업,기계,기계
강남제비스코,"157,625,000,000","6,500,000",KOSPI,기타 화학제품 제조업,화학,"건설,건축관련"
한화,"2,260,005,860,250","74,958,735",KOSPI,기타 화학제품 제조업,화학,보험
보해양조,"127,955,973,450","96,570,546",KOSPI,알코올음료 제조업,음식료품,필수소비재
유니온,"59,714,442,675","15,611,619",KOSPI,"시멘트, 석회, 플라스터 및 그 제품 제조업",비금속광물,"건설,건축관련"
전방,"28,728,000,000","1,680,000",KOSPI,방적 및 가공사 제조업,섬유의복,"화장품,의류,완구"
한국주철관공업,"214,324,700,000","22,800,500",KOSPI,1차 철강 제조업,철강금속,철강
DB하이텍,"519,463,479,600","44,398,588",KOSPI,반도체 제조업,전기전자,반도체
신라섬유,"59,115,809,900","24,277,540",KOSDAQ,부동산 임대 및 공급업,소매,통신서비스
페이퍼코리아,"47,114,543,454","54,216,966",KOSPI,"펄프, 종이 및 판지 제조업",종이목재,"비철,목재등"
CJ,"3,851,363,736,000","29,176,998",KOSPI,기타 금융업,기타금융업,"상사,자본재"
JW중외제약,"749,636,661,000","19,805,460",KOSPI,의약품 제조업,의약품,건강관리
대한방직,"73,670,000,000","5,300,000",KOSPI,직물직조 및 직물제품 제조업,섬유의복,"화장품,의류,완구"
만호제강,"71,795,000,000","4,150,000",KOSPI,1차 철강 제조업,철강금속,철강
LG상사,"658,920,000,000","38,760,000",KOSPI,상품 중개업,유통업,"상사,자본재"
대한제분,"301,665,000,000","1,690,000",KOSPI,"곡물가공품, 전분 및 전분제품 제조업",음식료품,필수소비재
국보,"19,598,841,600","1,682,304",KOSPI,도로 화물 운송업,운수창고업,운송
유진증권,"244,587,705,450","96,866,418",KOSPI,금융 지원 서비스업,증권,증권
금호전기,"44,998,863,600","6,976,568",KOSPI,전구 및 조명장치 제조업,전기전자,디스플레이
동국제강,"741,512,366,490","95,432,737",KOSPI,1차 철강 제조업,철강금속,철강
GS글로벌,"210,048,429,380","82,533,764",KOSPI,상품 종합 도매업,유통업,"상사,자본재"
남광토건,"145,425,910,000","9,826,075",KOSPI,토목 건설업,건설업,"건설,건축관련"
부국증권,"235,396,412,200","10,369,886",KOSPI,금융 지원 서비스업,증권,증권
상상인증권,"102,654,517,725","50,693,589",KOSPI,금융 지원 서비스업,증권,증권
백광산업,"112,071,425,465","44,918,407",KOSPI,기초 화학물질 제조업,화학,화학
삼성제약,"161,019,904,955","58,235,047",KOSPI,의약품 제조업,의약품,건강관리
SG충방,"76,214,222,385","44,964,143",KOSPI,자동차 신품 부품 제조업,운수장비,자동차
KG케미칼,"232,295,559,900","12,455,526",KOSPI,기초 화학물질 제조업,화학,화학
태원물산,"31,844,000,000","7,600,000",KOSPI,자동차 신품 부품 제조업,운수장비,자동차
세아베스틸,"579,173,221,850","35,862,119",KOSPI,1차 철강 제조업,철강금속,철강
대한전선,"907,861,389,540","856,473,009",KOSPI,절연선 및 케이블 제조업,전기전자,기계
현대해상,"3,866,550,000,000","89,400,000",KOSPI,보험업,보험업,보험
BYC,"160,526,055,000","624,615",KOSPI,봉제의복 제조업,섬유의복,"화장품,의류,완구"
삼부토건,"126,247,936,790","24,803,131",KOSPI,토목 건설업,건설업,"건설,건축관련"
현대차증권,"274,888,730,070","29,337,111",KOSPI,금융 지원 서비스업,증권,증권
SK증권,"250,962,040,384","356,480,171",KOSPI,금융 지원 서비스업,증권,증권
동양,"451,112,879,070","238,684,063",KOSPI,"시멘트, 석회, 플라스터 및 그 제품 제조업",비금속광물,"건설,건축관련"
디아이동일,"155,779,239,500","2,378,309",KOSPI,상품 중개업,유통업,"화장품,의류,완구"
안국약품,"142,814,499,000","13,042,420",KOSDAQ,의약품 제조업,제약,건강관리
조비,"125,132,959,900","5,192,239",KOSPI,"비료, 농약 및 살균, 살충제 제조업",화학,화학
제일연마,"60,000,000,000","10,000,000",KOSPI,기타 비금속 광물제품 제조업,비금속광물,"비철,목재등"
금양,"102,551,531,000","43,179,592",KOSPI,기초 화학물질 제조업,화학,화학
케이비아이동국실업,"45,528,509,488","53,312,072",KOSPI,자동차 신품 부품 제조업,운수장비,자동차
종근당홀딩스,"304,098,562,700","5,009,861",KOSPI,의약품 제조업,의약품,건강관리
대상,"796,904,575,000","34,648,025",KOSPI,기타 식품 제조업,음식료품,필수소비재
신영증권,"550,972,111,900","9,386,237",KOSPI,금융 지원 서비스업,증권,증권
SK네트웍스,"1,161,518,187,960","248,187,647",KOSPI,기타 전문 도매업,유통업,"상사,자본재"
한양증권,"89,481,594,020","12,728,534",KOSPI,금융 지원 서비스업,증권,증권
신화실업,"25,147,974,600","1,214,878",KOSPI,1차 철강 제조업,철강금속,철강
알루코,"210,530,588,150","74,524,102",KOSPI,1차 비철금속 제조업,철강금속,"비철,목재등"
대한제당,"171,938,038,900","8,840,002",KOSPI,"곡물가공품, 전분 및 전분제품 제조업",음식료품,필수소비재
오리온홀딩스,"1,027,366,405,200","62,644,293",KOSPI,기타 금융업,기타금융업,필수소비재
무림SP,"55,454,437,500","22,137,500",KOSDAQ,"펄프, 종이 및 판지 제조업","종이,목재","비철,목재등"
삼화콘덴서공업,"610,186,500,000","10,395,000",KOSPI,전자부품 제조업,전기전자,IT가전
이화공영,"133,886,937,600","19,805,760",KOSDAQ,건물 건설업,종합건설,"건설,건축관련"
삼호,"212,516,724,000","15,179,766",KOSPI,건물 건설업,건설업,"건설,건축관련"
KISCO홀딩스,"216,173,646,000","18,476,380",KOSPI,1차 철강 제조업,철강금속,철강
코오롱,"461,495,870,300","12,626,426",KOSPI,기타 금융업,기타금융업,화학
아세아,"246,490,200,000","2,191,024",KOSPI,회사 본부 및 경영 컨설팅 서비스업,서비스업,"비철,목재등"
남영비비안,"40,589,554,950","6,867,945",KOSPI,봉제의복 제조업,섬유의복,"화장품,의류,완구"
경농,"200,648,687,500","21,691,750",KOSPI,"비료, 농약 및 살균, 살충제 제조업",화학,화학
고려산업,"55,989,009,125","24,939,425",KOSPI,"곡물가공품, 전분 및 전분제품 제조업",음식료품,필수소비재
도화엔지니어링,"227,272,800,000","33,720,000",KOSPI,"건축기술, 엔지니어링 및 관련 기술 서비스업",서비스업,"건설,건축관련"
삼양통상,"124,950,000,000","3,000,000",KOSPI,"가죽, 가방 및 유사제품 제조업",미분류,"화장품,의류,완구"
한국수출포장공업,"81,400,000,000","4,000,000",KOSPI,"골판지, 종이 상자 및 종이용기 제조업",종이목재,"비철,목재등"
동성제약,"596,633,433,400","24,756,574",KOSPI,의약품 제조업,의약품,건강관리
한일철강,"42,412,427,000","2,232,233",KOSPI,1차 철강 제조업,철강금속,철강
피에스텍,"84,184,360,040","19,669,243",KOSDAQ,"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","의료,정밀기기",IT가전
고려제강,"411,000,000,000","20,000,000",KOSPI,1차 철강 제조업,철강금속,철강
롯데푸드,"717,605,580,000","1,131,870",KOSPI,낙농제품 및 식용빙과류 제조업,음식료품,필수소비재
삼일기업공사,"40,238,000,000","12,400,000",KOSDAQ,건물 건설업,종합건설,"건설,건축관련"
아세아제지,"286,608,064,000","8,956,502",KOSPI,"골판지, 종이 상자 및 종이용기 제조업",종이목재,"비철,목재등"
한진,"483,177,369,600","11,974,656",KOSPI,도로 화물 운송업,운수창고업,운송
넥센타이어,"857,523,960,060","97,667,877",KOSPI,고무제품 제조업,화학,자동차
SH에너지화학,"114,467,741,900","111,133,730",KOSPI,기초 화학물질 제조업,화학,화학
케이씨씨,"2,966,380,153,000","10,556,513",KOSPI,기타 화학제품 제조업,화학,"건설,건축관련"
한독,"350,281,914,850","13,763,533",KOSPI,의약품 제조업,의약품,건강관리
범양건영,"40,227,535,440","24,831,812",KOSPI,건물 건설업,건설업,"건설,건축관련"
세기상사,"31,710,657,600","407,592",KOSPI,"영화, 비디오물, 방송프로그램 제작 및 배급업",서비스업,"미디어,교육"
삼익악기,"160,239,719,550","90,530,915",KOSPI,악기 제조업,미분류,"화장품,의류,완구"
화성산업,"178,046,440,000","12,450,800",KOSPI,건물 건설업,건설업,"건설,건축관련"
조흥,"110,700,000,000","600,000",KOSPI,기타 식품 제조업,음식료품,필수소비재
제일파마홀딩스,"128,409,731,850","4,345,507",KOSPI,회사 본부 및 경영 컨설팅 서비스업,서비스업,건강관리
오리엔트바이오,"129,266,424,768","168,535,104",KOSPI,의약품 제조업,의약품,자동차
한탑,"47,736,000,000","20,800,000",KOSDAQ,"곡물가공품, 전분 및 전분제품 제조업","음식료,담배",필수소비재
동일제강,"44,925,000,000","15,000,000",KOSPI,1차 철강 제조업,철강금속,철강
신일산업,"93,072,252,510","71,047,521",KOSPI,기계장비 및 관련 물품 도매업,유통업,"화장품,의류,완구"
TCC스틸,"42,003,900,000","22,342,500",KOSPI,1차 철강 제조업,철강금속,철강
국제약품,"81,798,694,710","18,057,107",KOSPI,의약품 제조업,의약품,건강관리
보락,"146,755,000,000","59,900,000",KOSPI,기타 화학제품 제조업,화학,필수소비재
진흥기업,"321,957,076,630","145,353,082",KOSPI,토목 건설업,건설업,"건설,건축관련"
아모레퍼시픽그룹,"4,922,753,346,000","82,458,180",KOSPI,기타 화학제품 제조업,화학,"화장품,의류,완구"
신신제약,"125,004,920,000","15,170,500",KOSDAQ,의약품 제조업,제약,건강관리
삼영무역,"240,412,695,800","16,466,623",KOSPI,기타 전문 도매업,유통업,화학
선창산업,"68,587,460,160","12,607,989",KOSPI,나무제품 제조업,종이목재,"비철,목재등"
미원상사,"194,269,810,000","792,938",KOSPI,기타 화학제품 제조업,화학,화학
신풍제지,"43,523,581,500","34,958,700",KOSPI,"펄프, 종이 및 판지 제조업",종이목재,"비철,목재등"
대유에이텍,"118,291,719,025","103,311,545",KOSPI,자동차 신품 부품 제조업,운수장비,자동차
동양물산기업,"115,411,408,500","65,388,900",KOSPI,특수 목적용 기계 제조업,기계,기계
유성기업,"72,393,525,000","25,947,500",KOSPI,자동차 신품 부품 제조업,운수장비,자동차
한국쉘석유,"459,550,000,000","1,300,000",KOSPI,석유 정제품 제조업,화학,에너지
금호산업,"423,415,350,750","36,035,349",KOSPI,건물 건설업,건설업,"건설,건축관련"
부광약품,"1,317,054,126,850","48,870,283",KOSPI,의약품 제조업,의약품,건강관리
혜인,"71,445,638,140","12,712,747",KOSPI,기계장비 및 관련 물품 도매업,유통업,기계
세아제강지주,"163,563,290,000","3,163,700",KOSPI,기타 금융업,기타금융업,철강
